"filename", "language", "XML", "JSON", "C#", "EditorConfig", "Solution File", "comment", "blank", "total"
"d:\Code\AutoTest\.vs\AutoTest\v17\DocumentLayout.backup.json", "JSON", 0, 71, 0, 0, 0, 0, 0, 71
"d:\Code\AutoTest\.vs\AutoTest\v17\DocumentLayout.json", "JSON", 0, 37, 0, 0, 0, 0, 0, 37
"d:\Code\AutoTest\AutoTest.sln", "Solution File", 0, 0, 0, 0, 97, 0, 2, 99
"d:\Code\AutoTest\src\AutoTest.Application\AutoTest.Application.csproj", "XML", 18, 0, 0, 0, 0, 0, 0, 18
"d:\Code\AutoTest\src\AutoTest.Application\Execution\HttpExecutionEngine.cs", "C#", 0, 0, 80, 0, 0, 0, 11, 91
"d:\Code\AutoTest\src\AutoTest.Application\Services\AssertionService\HttpAsseritonService\HttpAssertion.cs", "C#", 0, 0, 57, 0, 0, 0, 8, 65
"d:\Code\AutoTest\src\AutoTest.Application\Services\AssertionService\HttpAsseritonService\HttpAssertionField.cs", "C#", 0, 0, 8, 0, 0, 0, 2, 10
"d:\Code\AutoTest\src\AutoTest.Application\Services\AssertionService\HttpAsseritonService\HttpAssertionOperator .cs", "C#", 0, 0, 11, 0, 0, 0, 3, 14
"d:\Code\AutoTest\src\AutoTest.Application\Services\ExecutionService\HttpExecutionResult.cs", "C#", 0, 0, 12, 0, 0, 0, 3, 15
"d:\Code\AutoTest\src\AutoTest.Application\obj\AutoTest.Application.csproj.nuget.dgspec.json", "JSON", 0, 176, 0, 0, 0, 0, 0, 176
"d:\Code\AutoTest\src\AutoTest.Application\obj\AutoTest.Application.csproj.nuget.g.props", "XML", 16, 0, 0, 0, 0, 0, 0, 16
"d:\Code\AutoTest\src\AutoTest.Application\obj\AutoTest.Application.csproj.nuget.g.targets", "XML", 8, 0, 0, 0, 0, 0, 0, 8
"d:\Code\AutoTest\src\AutoTest.Application\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 0, 0, 3, 0, 0, 1, 1, 5
"d:\Code\AutoTest\src\AutoTest.Application\obj\Debug\net8.0\AutoTest.Application.AssemblyInfo.cs", "C#", 0, 0, 9, 0, 0, 10, 5, 24
"d:\Code\AutoTest\src\AutoTest.Application\obj\Debug\net8.0\AutoTest.Application.GeneratedMSBuildEditorConfig.editorconfig", "EditorConfig", 0, 0, 0, 17, 0, 0, 1, 18
"d:\Code\AutoTest\src\AutoTest.Application\obj\Debug\net8.0\AutoTest.Application.GlobalUsings.g.cs", "C#", 0, 0, 7, 0, 0, 1, 1, 9
"d:\Code\AutoTest\src\AutoTest.Application\obj\project.assets.json", "JSON", 0, 879, 0, 0, 0, 0, 0, 879
"d:\Code\AutoTest\src\AutoTest.Core\Assertion\AssertionEntity.cs", "C#", 0, 0, 6, 0, 0, 0, 4, 10
"d:\Code\AutoTest\src\AutoTest.Core\Assertion\AssertionResult.cs", "C#", 0, 0, 9, 0, 0, 0, 2, 11
"d:\Code\AutoTest\src\AutoTest.Core\Assertion\IAssertion.cs", "C#", 0, 0, 6, 0, 0, 0, 2, 8
"d:\Code\AutoTest\src\AutoTest.Core\AutoTest.Core.csproj", "XML", 7, 0, 0, 0, 0, 0, 0, 7
"d:\Code\AutoTest\src\AutoTest.Core\DomainEvents\IDomainEvent.cs", "C#", 0, 0, 5, 0, 0, 0, 2, 7
"d:\Code\AutoTest\src\AutoTest.Core\Execution\ExecutionResult.cs", "C#", 0, 0, 18, 0, 0, 0, 3, 21
"d:\Code\AutoTest\src\AutoTest.Core\Execution\ExecutionTest.cs", "C#", 0, 0, 25, 0, 0, 0, 9, 34
"d:\Code\AutoTest\src\AutoTest.Core\Execution\IExecutionEngine.cs", "C#", 0, 0, 6, 0, 0, 0, 2, 8
"d:\Code\AutoTest\src\AutoTest.Core\Execution\IExecutionOrchestrator.cs", "C#", 0, 0, 7, 0, 0, 1, 3, 11
"d:\Code\AutoTest\src\AutoTest.Core\IAggregateRoot.cs", "C#", 0, 0, 4, 0, 0, 0, 2, 6
"d:\Code\AutoTest\src\AutoTest.Core\Log\ExecutionLog.cs", "C#", 0, 0, 16, 0, 0, 0, 4, 20
"d:\Code\AutoTest\src\AutoTest.Core\Monitor\MonitorEntity.cs", "C#", 0, 0, 39, 0, 0, 1, 8, 48
"d:\Code\AutoTest\src\AutoTest.Core\Monitor\MonitorStatus.cs", "C#", 0, 0, 10, 0, 0, 0, 1, 11
"d:\Code\AutoTest\src\AutoTest.Core\Monitor\MonitorTarget .cs", "C#", 0, 0, 4, 0, 0, 0, 2, 6
"d:\Code\AutoTest\src\AutoTest.Core\Repositories\IExecutionLogRepository.cs", "C#", 0, 0, 15, 0, 0, 0, 2, 17
"d:\Code\AutoTest\src\AutoTest.Core\Repositories\IMonitorRepository.cs", "C#", 0, 0, 8, 0, 0, 0, 2, 10
